2026-04-06 17:38:48 | INFO     | [line] Rendered | x=Month | y=Branch | hue=Region | rows=1
2026-04-06 17:38:48 | INFO     | [renderer] OK | chart_type=line
2026-04-06 17:38:49 | INFO     | [renderer] Routing | chart_type=line | rows=1 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:38:49 | INFO     | [line] Rendered | x=Month | y=Branch | hue=Region | rows=1
2026-04-06 17:38:49 | INFO     | [renderer] OK | chart_type=line
2026-04-06 17:38:49 | INFO     | [renderer] Routing | chart_type=area | rows=1 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:38:49 | INFO     | [area] Rendered | x=Month | y=Branch | hue=Region | rows=1
2026-04-06 17:38:49 | INFO     | [renderer] OK | chart_type=area
2026-04-06 17:38:54 | INFO     | [renderer] Routing | chart_type=area | rows=1 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:38:54 | INFO     | [area] Rendered | x=Month | y=Branch | hue=Region | rows=1
2026-04-06 17:38:54 | INFO     | [renderer] OK | chart_type=area
2026-04-06 17:38:56 | INFO     | [renderer] Routing | chart_type=area | rows=1 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:38:56 | INFO     | [area] Rendered | x=Month | y=Branch | hue=Region | rows=1
2026-04-06 17:38:56 | INFO     | [renderer] OK | chart_type=area
2026-04-06 17:38:56 | INFO     | [renderer] Routing | chart_type=scatter | rows=1 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:38:56 | INFO     | [scatter] Rendered | x=Month | y=Month | hue=Region | sample=1/1
2026-04-06 17:38:56 | INFO     | [renderer] OK | chart_type=scatter
